"d13C","d15N","ID","Sp","Sexo","month","foraging"
-14.2,19.3,"40209","Aa","M",6,"nonrestr"
-14.6,18.8,"40209","Aa","M",5,"nonrestr"
-14.7,20,"40209","Aa","M",4,"nonrestr"
-15.1,18.5,"40209","Aa","M",3,"nonrestr"
-14.7,19.2,"40209","Aa","M",2,"nonrestr"
-14.5,19.6,"40209","Aa","M",1,"nonrestr"
-14.4,19.1,"40209","Aa","M",12,"restricted"
-14.4,18.7,"40209","Aa","M",11,"restricted"
-15.6,18.5,"190509","Aa","M",5,"nonrestr"
-15.3,17.3,"190509","Aa","M",4,"nonrestr"
-16,14.9,"190509","Aa","M",3,"nonrestr"
-16,14.8,"190509","Aa","M",2,"nonrestr"
-16.3,13.5,"190509","Aa","M",1,"nonrestr"
-16.2,14,"190509","Aa","M",12,"restricted"
-16.6,12.7,"190509","Aa","M",11,"restricted"
-16.6,12.5,"190509","Aa","M",10,"nonrestr"
-16.6,12.7,"190509","Aa","M",9,"nonrestr"
-16.3,13.9,"190509","Aa","M",8,"nonrestr"
-15.8,16.3,"190509","Aa","M",7,"nonrestr"
-15.4,19.2,"190509","Aa","M",6,"nonrestr"
-15.3,19.7,"190509","Aa","M",5,"nonrestr"
-15.5,20.2,"190509","Aa","M",4,"nonrestr"
-15.6,20.2,"190509","Aa","M",3,"nonrestr"
-15.7,20.2,"190509","Aa","M",2,"nonrestr"
-15.7,20,"190509","Aa","M",1,"nonrestr"
-15.9,19.7,"190509","Aa","M",12,"restricted"
-15.9,19.5,"190509","Aa","M",11,"restricted"
-15.9,19.3,"190509","Aa","M",10,"nonrestr"
-15.9,19,"190509","Aa","M",9,"nonrestr"
-15.9,18.9,"190509","Aa","M",8,"nonrestr"
-16,18.9,"190509","Aa","M",6,"nonrestr"
-16,18.7,"190509","Aa","M",5,"nonrestr"
-16,18.8,"190509","Aa","M",4,"nonrestr"
-15.9,18.8,"190509","Aa","M",3,"nonrestr"
-13.8,18.4,"190509","Aa","M",2,"nonrestr"
-15.9,18.7,"190509","Aa","M",1,"nonrestr"
-15.9,18.9,"190509","Aa","M",12,"restricted"
-16.1,18.9,"190509","Aa","M",11,"restricted"
-16,18.9,"190509","Aa","M",10,"nonrestr"
-16.1,18.6,"190509","Aa","M",9,"nonrestr"
-16.4,18.3,"190509","Aa","M",8,"nonrestr"
-16,19,"190509","Aa","M",7,"nonrestr"
-16,18.6,"190509","Aa","M",6,"nonrestr"
-15.8,18.7,"190509","Aa","M",5,"nonrestr"
-15.8,18.6,"190509","Aa","M",4,"nonrestr"
-15.6,18.7,"190509","Aa","M",3,"nonrestr"
-15.4,18.2,"190509","Aa","M",2,"nonrestr"
-15.3,17.2,"190509","Aa","M",1,"nonrestr"
-15.6,16.5,"190509","Aa","M",12,"restricted"
-15.8,16.3,"190509","Aa","M",11,"restricted"
-15.6,16.2,"190509","Aa","M",10,"nonrestr"
-15.9,15.9,"270709","Aa","M",7,"nonrestr"
-16.2,14.8,"270709","Aa","M",6,"nonrestr"
-16.4,14.5,"270709","Aa","M",5,"nonrestr"
-15.9,15.1,"270709","Aa","M",4,"nonrestr"
-15.3,16.3,"270709","Aa","M",3,"nonrestr"
-15.1,17.1,"270709","Aa","M",2,"nonrestr"
-16.1,16,"270709","Aa","M",1,"nonrestr"
-16,15.6,"270709","Aa","M",12,"restricted"
-15.8,15.9,"270709","Aa","M",11,"restricted"
-15.7,15.9,"270709","Aa","M",10,"nonrestr"
-15.7,15.6,"270709","Aa","M",9,"nonrestr"
-15.6,16.2,"270709","Aa","M",8,"nonrestr"
-17.9,15.9,"270709","Aa","M",7,"nonrestr"
-15.9,16,"270709","Aa","M",6,"nonrestr"
-15.8,16.1,"270709","Aa","M",5,"nonrestr"
-16.1,14.9,"270709","Aa","M",4,"nonrestr"
-14.9,17.3,"270709","Aa","M",3,"nonrestr"
-15.1,16.9,"270709","Aa","M",2,"nonrestr"
-15.4,16.2,"270709","Aa","M",1,"nonrestr"
-15.6,15,"270709","Aa","M",12,"restricted"
-15.5,15.2,"270709","Aa","M",11,"restricted"
-15.5,15.1,"270709","Aa","M",10,"nonrestr"
-15.6,14.7,"270709","Aa","M",9,"nonrestr"
-15.3,15.3,"270709","Aa","M",8,"nonrestr"
-14.6,17,"270709","Aa","M",7,"nonrestr"
-14.7,17.1,"270709","Aa","M",6,"nonrestr"
-15.9,15.5,"270709","Aa","M",5,"nonrestr"
-15.4,15.8,"270709","Aa","M",4,"nonrestr"
-15.3,15.9,"270709","Aa","M",3,"nonrestr"
-16,15,"270709","Aa","M",2,"nonrestr"
-16.1,14.7,"270709","Aa","M",1,"nonrestr"
-15.4,16.6,"270709","Aa","M",12,"restricted"
-15.05,18.69,"Aam1","Aa","M",11,"restricted"
-14.86,18.09,"Aam1","Aa","M",9,"nonrestr"
-14.66,18.53,"Aam1","Aa","M",7,"nonrestr"
-14.4,18.66,"Aam1","Aa","M",5,"nonrestr"
-14.85,18.19,"Aam1","Aa","M",3,"nonrestr"
-15.41,17.88,"Aam1","Aa","M",1,"nonrestr"
-15.26,17.6,"Aam1","Aa","M",11,"restricted"
-15.4,17.12,"Aam1","Aa","M",9,"nonrestr"
-15.55,16.86,"Aam1","Aa","M",7,"nonrestr"
-15.06,17.49,"Aam1","Aa","M",5,"nonrestr"
-15.55,16.7,"Aam1","Aa","M",3,"nonrestr"
-14.86,17.56,"Aam1","Aa","M",1,"nonrestr"
-14.8,17.78,"Aam1","Aa","M",11,"restricted"
-14.57,18.41,"Aam1","Aa","M",9,"nonrestr"
-14.98,18.05,"Aam1","Aa","M",7,"nonrestr"
-15.32,17.91,"Aam1","Aa","M",5,"nonrestr"
-15.19,18.18,"Aam1","Aa","M",3,"nonrestr"
-15.36,17.48,"Aam1","Aa","M",1,"nonrestr"
-14.88,20.65,"Aam10","Aa","M",12,"restricted"
-14.9,20.62,"Aam10","Aa","M",10,"nonrestr"
-14.59,20.96,"Aam10","Aa","M",8,"nonrestr"
-14.53,19.77,"Aam10","Aa","M",6,"nonrestr"
-14.43,20.61,"Aam10","Aa","M",4,"nonrestr"
-14.43,20.41,"Aam10","Aa","M",2,"nonrestr"
-14.76,21.2,"Aam10","Aa","M",12,"restricted"
-14.91,20.24,"Aam10","Aa","M",10,"nonrestr"
-15.31,19.7,"Aam10","Aa","M",8,"nonrestr"
-14.99,21.14,"Aam10","Aa","M",6,"nonrestr"
-14.55,20.85,"Aam10","Aa","M",4,"nonrestr"
-14.44,20.54,"Aam10","Aa","M",2,"nonrestr"
-14.36,20.32,"Aam10","Aa","M",12,"restricted"
-14.73,19.29,"Aam10","Aa","M",10,"nonrestr"
-14.42,20.88,"Aam10","Aa","M",8,"nonrestr"
-14.36,19.91,"Aam10","Aa","M",6,"nonrestr"
-14.6,19.58,"Aam10","Aa","M",4,"nonrestr"
-14.55,20.24,"Aam10","Aa","M",2,"nonrestr"
-15.05,19.96,"Aam10","Aa","M",12,"restricted"
-15.08,19.53,"Aam10","Aa","M",10,"nonrestr"
-14.29,21,"Aam10","Aa","M",8,"nonrestr"
-14.4,20.49,"Aam10","Aa","M",6,"nonrestr"
-14.64,20.49,"Aam10","Aa","M",4,"nonrestr"
-14.88,20.67,"Aam10","Aa","M",2,"nonrestr"
-14.04,19.29,"Aam11","Aa","M",11,"restricted"
-13.86,20.08,"Aam11","Aa","M",9,"nonrestr"
-14.31,20.35,"Aam11","Aa","M",7,"nonrestr"
-13.99,20.06,"Aam11","Aa","M",5,"nonrestr"
-14.43,20.19,"Aam11","Aa","M",3,"nonrestr"
-14.08,19.44,"Aam11","Aa","M",1,"nonrestr"
-13.8,20.12,"Aam11","Aa","M",11,"restricted"
-13.8,20.5,"Aam11","Aa","M",9,"nonrestr"
-14.23,19.8,"Aam11","Aa","M",7,"nonrestr"
-14.06,20.04,"Aam11","Aa","M",5,"nonrestr"
-14.45,20.7,"Aam12","Aa","M",12,"restricted"
-14.54,20.29,"Aam12","Aa","M",10,"nonrestr"
-14.53,20.19,"Aam12","Aa","M",8,"nonrestr"
-14.11,20.6,"Aam12","Aa","M",6,"nonrestr"
-13.98,20.94,"Aam12","Aa","M",4,"nonrestr"
-14.15,20.48,"Aam12","Aa","M",2,"nonrestr"
-13.82,20.97,"Aam12","Aa","M",12,"restricted"
-14.27,19.97,"Aam12","Aa","M",10,"nonrestr"
-14.43,20.2,"Aam12","Aa","M",8,"nonrestr"
-14.35,20.84,"Aam12","Aa","M",6,"nonrestr"
-14.81,20.15,"Aam12","Aa","M",4,"nonrestr"
-14.81,20.4,"Aam12","Aa","M",2,"nonrestr"
-14.51,20.56,"Aam12","Aa","M",12,"restricted"
-14.5,20.3,"Aam12","Aa","M",10,"nonrestr"
-14.5,20.91,"Aam12","Aa","M",8,"nonrestr"
-14.91,20.54,"Aam12","Aa","M",6,"nonrestr"
-15.04,19.77,"Aam12","Aa","M",4,"nonrestr"
-14.88,20.03,"Aam12","Aa","M",2,"nonrestr"
-15.18,19.99,"Aam12","Aa","M",12,"restricted"
-15.39,20.62,"Aam12","Aa","M",10,"nonrestr"
-15.34,20.16,"Aam12","Aa","M",8,"nonrestr"
-15.11,18.7,"Aam17","Aa","M",11,"restricted"
-14.21,18.96,"Aam17","Aa","M",9,"nonrestr"
-14.39,18.58,"Aam17","Aa","M",7,"nonrestr"
-14.41,18.3,"Aam17","Aa","M",5,"nonrestr"
-14.5,17.93,"Aam17","Aa","M",3,"nonrestr"
-14.27,17.54,"Aam17","Aa","M",1,"nonrestr"
-14.35,18.86,"Aam17","Aa","M",11,"restricted"
-14.73,18.16,"Aam17","Aa","M",9,"nonrestr"
-14.48,17.87,"Aam17","Aa","M",7,"nonrestr"
-14.46,17.58,"Aam17","Aa","M",5,"nonrestr"
-13.73,17.56,"Aam17","Aa","M",3,"nonrestr"
-14.32,18.7,"Aam17","Aa","M",1,"nonrestr"
-14.39,18.71,"Aam17","Aa","M",11,"restricted"
-13.85,18.82,"Aam17","Aa","M",9,"nonrestr"
-14.91,17.44,"Aam17","Aa","M",7,"nonrestr"
-15.08,17.41,"Aam17","Aa","M",5,"nonrestr"
-14.51,18.7,"Aam17","Aa","M",3,"nonrestr"
-14.03,19.11,"Aam17","Aa","M",1,"nonrestr"
-15.3,16.71,"Aam2","Aa","M",11,"restricted"
-15.21,17.14,"Aam2","Aa","M",9,"nonrestr"
-15.6,16.71,"Aam2","Aa","M",7,"nonrestr"
-15.47,16.62,"Aam2","Aa","M",5,"nonrestr"
-15.38,16.25,"Aam2","Aa","M",3,"nonrestr"
-15.33,16.27,"Aam2","Aa","M",1,"nonrestr"
-15.59,14.83,"Aam2","Aa","M",11,"restricted"
-15.53,15.85,"Aam2","Aa","M",9,"nonrestr"
-15.6,17.29,"Aam2","Aa","M",7,"nonrestr"
-15.47,16.79,"Aam2","Aa","M",5,"nonrestr"
-15.45,16.19,"Aam2","Aa","M",3,"nonrestr"
-15.32,16.01,"Aam2","Aa","M",1,"nonrestr"
-15.72,14.27,"Aam2","Aa","M",11,"restricted"
-14.95,16.98,"Aam2","Aa","M",9,"nonrestr"
-14.77,17.83,"Aam2","Aa","M",7,"nonrestr"
-14.35,18.1,"Aam2","Aa","M",5,"nonrestr"
-14.26,17.4,"Aam2","Aa","M",3,"nonrestr"
-15,15.89,"Aam2","Aa","M",1,"nonrestr"
-14.43,16.5,"Aam2","Aa","M",11,"restricted"
-14.35,16.77,"Aam2","Aa","M",9,"nonrestr"
-14.78,15.98,"Aam2","Aa","M",7,"nonrestr"
-14.92,18.67,"Aam3","Aa","M",11,"restricted"
-15.08,18.01,"Aam3","Aa","M",9,"nonrestr"
-14.6,18.86,"Aam3","Aa","M",7,"nonrestr"
-14.79,18.68,"Aam3","Aa","M",5,"nonrestr"
-15.09,17.61,"Aam3","Aa","M",3,"nonrestr"
-15.39,16.98,"Aam3","Aa","M",1,"nonrestr"
-15.17,16.66,"Aam3","Aa","M",11,"restricted"
-14.81,17.37,"Aam3","Aa","M",9,"nonrestr"
-14.87,17.24,"Aam3","Aa","M",7,"nonrestr"
-14.85,17.71,"Aam3","Aa","M",5,"nonrestr"
-15.08,17.36,"Aam3","Aa","M",3,"nonrestr"
-15.32,17.55,"Aam3","Aa","M",1,"nonrestr"
-15.22,17.92,"Aam3","Aa","M",11,"restricted"
-15.49,16.98,"Aam3","Aa","M",9,"nonrestr"
-15.28,17.45,"Aam3","Aa","M",7,"nonrestr"
-15,17.77,"Aam3","Aa","M",5,"nonrestr"
-14.52,18.35,"Aam3","Aa","M",3,"nonrestr"
-14.99,17.85,"Aam3","Aa","M",1,"nonrestr"
-15.64,17.41,"Aam3","Aa","M",11,"restricted"
-14.89,17.62,"Aam3","Aa","M",9,"nonrestr"
-14.31,18.64,"Aam3","Aa","M",7,"nonrestr"
-14.49,17.67,"Aam3","Aa","M",5,"nonrestr"
-14.51,18.05,"Aam3","Aa","M",3,"nonrestr"
-14.3,21.33,"Aam4","Aa","M",12,"restricted"
-13.99,20.29,"Aam4","Aa","M",10,"nonrestr"
-13.79,20.22,"Aam4","Aa","M",8,"nonrestr"
-13.86,19.8,"Aam4","Aa","M",6,"nonrestr"
-13.97,20.01,"Aam4","Aa","M",4,"nonrestr"
-14.01,20.07,"Aam4","Aa","M",2,"nonrestr"
-13.9,21.16,"Aam4","Aa","M",12,"restricted"
-13.83,20.4,"Aam4","Aa","M",10,"nonrestr"
-13.74,20.25,"Aam4","Aa","M",8,"nonrestr"
-13.66,20.19,"Aam4","Aa","M",6,"nonrestr"
-13.53,20.19,"Aam4","Aa","M",4,"nonrestr"
-13.59,20.46,"Aam4","Aa","M",2,"nonrestr"
-13.51,21.1,"Aam4","Aa","M",12,"restricted"
-13.34,20.14,"Aam4","Aa","M",10,"nonrestr"
-14,19.1,"Aam5","Aa","M",12,"restricted"
-14.78,18.73,"Aam5","Aa","M",10,"nonrestr"
-14.62,19.01,"Aam5","Aa","M",8,"nonrestr"
-14.03,19.82,"Aam5","Aa","M",6,"nonrestr"
-13.41,20.02,"Aam5","Aa","M",4,"nonrestr"
-13.46,20.13,"Aam5","Aa","M",2,"nonrestr"
-13.89,20.49,"Aam5","Aa","M",12,"restricted"
-14.64,19.12,"Aam5","Aa","M",10,"nonrestr"
-13.73,19.98,"Aam5","Aa","M",8,"nonrestr"
-13.58,20.02,"Aam5","Aa","M",6,"nonrestr"
-13.7,19.8,"Aam5","Aa","M",4,"nonrestr"
-13.85,20.12,"Aam5","Aa","M",2,"nonrestr"
-13.93,19.75,"Aam5","Aa","M",12,"restricted"
-14.13,19.53,"Aam5","Aa","M",10,"nonrestr"
-13.85,19.51,"Aam5","Aa","M",8,"nonrestr"
-13.73,19.35,"Aam5","Aa","M",6,"nonrestr"
-14.05,19.98,"Aam5","Aa","M",4,"nonrestr"
-14.5,18.62,"Aam6","Aa","M",11,"restricted"
-14.96,18.51,"Aam6","Aa","M",9,"nonrestr"
-15.55,17.45,"Aam6","Aa","M",7,"nonrestr"
-14.63,18.49,"Aam6","Aa","M",5,"nonrestr"
-14.18,19.1,"Aam6","Aa","M",3,"nonrestr"
-14.32,19.59,"Aam6","Aa","M",1,"nonrestr"
-14.37,19.5,"Aam6","Aa","M",11,"restricted"
-14.16,19.75,"Aam6","Aa","M",9,"nonrestr"
-14.11,18.72,"Aam6","Aa","M",7,"nonrestr"
-14.09,18.79,"Aam6","Aa","M",5,"nonrestr"
-14.85,19.11,"Aam6","Aa","M",3,"nonrestr"
-14.4,19.25,"Aam6","Aa","M",1,"nonrestr"
-13.6,20.58,"Aam6","Aa","M",11,"restricted"
-14.05,20.49,"Aam6","Aa","M",9,"nonrestr"
-14.06,20.44,"Aam6","Aa","M",7,"nonrestr"
-14.11,19.82,"Aam6","Aa","M",5,"nonrestr"
-14.34,19.67,"Aam6","Aa","M",3,"nonrestr"
-14.23,18.57,"Aam6","Aa","M",1,"nonrestr"
-14.69,18.86,"Aam6","Aa","M",11,"restricted"
-14.57,19.4,"Aam6","Aa","M",9,"nonrestr"
-14.53,19.96,"Aam6","Aa","M",7,"nonrestr"
-14.67,20.2,"Aam6","Aa","M",5,"nonrestr"
-14.47,19.64,"Aam6","Aa","M",3,"nonrestr"
-14.92,18.7,"Aam6","Aa","M",1,"nonrestr"
-14.99,18.43,"Aam6","Aa","M",11,"restricted"
-14.7,17.46,"Aam6","Aa","M",9,"nonrestr"
-14.81,19.37,"Aam6","Aa","M",7,"nonrestr"
-14.66,20.07,"Aam6","Aa","M",5,"nonrestr"
-14.97,20.08,"Aam6","Aa","M",3,"nonrestr"
-14.95,19.33,"Aam6","Aa","M",1,"nonrestr"
-14.54,19.72,"Aam6","Aa","M",11,"restricted"
-14.6,20.22,"Aam7","Aa","M",12,"restricted"
-14.65,20.44,"Aam7","Aa","M",10,"nonrestr"
-14.55,20.19,"Aam7","Aa","M",8,"nonrestr"
-14.35,19.47,"Aam7","Aa","M",6,"nonrestr"
-14.72,19.55,"Aam7","Aa","M",4,"nonrestr"
-14.96,18.15,"Aam7","Aa","M",2,"nonrestr"
-15.24,18.99,"Aam7","Aa","M",12,"restricted"
-14.52,19.95,"Aam7","Aa","M",10,"nonrestr"
-14.5,19.39,"Aam7","Aa","M",8,"nonrestr"
-14.3,19.27,"Aam7","Aa","M",6,"nonrestr"
-14.36,20.92,"Aam7","Aa","M",4,"nonrestr"
-13.9,20.71,"Aam7","Aa","M",2,"nonrestr"
-13.39,21.14,"Aam7","Aa","M",12,"restricted"
-13.98,20.45,"Aam7","Aa","M",10,"nonrestr"
-14.42,19.71,"Aam7","Aa","M",8,"nonrestr"
-14.52,20.22,"Aam7","Aa","M",6,"nonrestr"
-14.58,20.14,"Aam7","Aa","M",4,"nonrestr"
-14.83,20,"Aam7","Aa","M",2,"nonrestr"
-14.67,19.65,"Aam7","Aa","M",12,"restricted"
-14.69,20.69,"Aam7","Aa","M",10,"nonrestr"
-14.83,20.1,"Aam7","Aa","M",8,"nonrestr"
-15.89,19.75,"Aam7","Aa","M",6,"nonrestr"
-15.7,19.8,"Aam7","Aa","M",4,"nonrestr"
-14.35,20.23,"Aam8","Aa","M",7,"nonrestr"
-14.33,19.85,"Aam8","Aa","M",5,"nonrestr"
-14.88,17.54,"Aam8","Aa","M",3,"nonrestr"
-14.09,18.96,"Aam8","Aa","M",1,"nonrestr"
-14.44,19.06,"Aam8","Aa","M",11,"restricted"
-14.58,18.72,"Aam8","Aa","M",9,"nonrestr"
-14.62,19.11,"Aam8","Aa","M",7,"nonrestr"
-15.42,16.12,"Aam8","Aa","M",5,"nonrestr"
-14.93,19.42,"Aam8","Aa","M",3,"nonrestr"
-15.04,19.46,"Aam8","Aa","M",1,"nonrestr"
-15.06,19.58,"Aam8","Aa","M",11,"restricted"
-14.96,18.28,"Aam8","Aa","M",9,"nonrestr"
-14.98,18.89,"Aam8","Aa","M",7,"nonrestr"
-14.8,18.51,"Aam8","Aa","M",5,"nonrestr"
-14.51,20.67,"Aam9","Aa","M",9,"nonrestr"
-14.07,19.87,"Aam9","Aa","M",7,"nonrestr"
-14.69,18.61,"Aam9","Aa","M",5,"nonrestr"
-14.46,18.965,"Aam9","Aa","M",3,"nonrestr"
-14.23,19.32,"Aam9","Aa","M",1,"nonrestr"
-14.44,18.73,"Aam9","Aa","M",11,"restricted"
-14.45,19.02,"Aam9","Aa","M",9,"nonrestr"
-15.44,17.2,"Aam9","Aa","M",7,"nonrestr"
-13.89,20.84,"Aam9","Aa","M",5,"nonrestr"
-14.34,20.25,"Aam9","Aa","M",3,"nonrestr"
-15.83,17.16,"Aam9","Aa","M",1,"nonrestr"
-15.56,16.66,"Aam9","Aa","M",11,"restricted"
-14.97,18.88,"Aam9","Aa","M",9,"nonrestr"
-14.88,18.86,"Aam9","Aa","M",7,"nonrestr"
-15.5,17.85,"Aam9","Aa","M",5,"nonrestr"
