"species","location","date_collected","noindiv","drymass","bodyl","d13c","d15n"
"Rana.sphenocephala","DC108_1","06/10/2015",1,13.9,NA,-29.33,2.25
"Rana.sphenocephala","DC108_1","06/10/2015",1,13.9,NA,-28.07,2.83
"Rana.sphenocephala","DC108_1","06/10/2015",1,13.9,NA,-29.06,2.7
"Rana.sphenocephala","DC108_1","06/10/2015",1,13.9,NA,-29.24,2.4
"Rana.sphenocephala","DC108_1","06/10/2015",4,13.9,NA,-31.98,2.22
"Rana.sphenocephala","DC108_1","06/10/2015",1,14.2,8.429,-33.85,1.98
"Rana.sphenocephala","DC108_1","06/10/2015",1,14.2,8.703,-35.72,2.13
"Rana.sphenocephala","DC108_1","06/10/2015",1,14.8,8.996,-34.31,1.71
"Rana.sphenocephala","DC108_1","06/10/2015",1,15.2,10.045,-33.72,1.67
"Rana.sphenocephala","DC108_1","06/10/2015",1,15.4,11.449,-34.16,2.14
"Rana.sphenocephala","DC108_1","06/10/2015",1,15.5,10.452,-32.22,1.9
"Rana.sphenocephala","DC108_1","06/10/2015",1,15.6,9.126,-34.27,1.91
"Rana.sphenocephala","DC108_1","06/10/2015",1,16.3,10.317,-32.61,1.5
"Rana.sphenocephala","DC108_1","06/10/2015",1,16.4,9.341,-34.35,2.38
"Rana.sphenocephala","DC108_1","06/10/2015",9,16.5,NA,-30.27,2.04
"Rana.sphenocephala","DC108_1","06/10/2015",1,17.6,11.234,-35.03,2.23
"Rana.sphenocephala","DC108_1","06/10/2015",1,18.9,10.375,-34.9,2.9
"Rana.sphenocephala","DC108_1","06/10/2015",1,19.3,10.422,-33.57,1.42
"Rana.sphenocephala","DC108_1","06/10/2015",1,19.3,10.474,-29.4,2.09
"Rana.sphenocephala","DC108_1","06/10/2015",2,21.3,NA,-29.74,1.78
"Rana.sphenocephala","DC108_1","06/10/2015",2,21.3,NA,-30.88,2.2
"Rana.sphenocephala","DC108_1","06/10/2015",2,21.3,NA,-31.19,2.37
"Rana.sphenocephala","DC108_1","06/10/2015",2,21.3,NA,-31.54,2.02
"Rana.sphenocephala","DC108_1","06/10/2015",1,22.3,11.056,-29.78,2.48
"Rana.sphenocephala","DC108_1","06/10/2015",2,22.7,NA,-34.68,1.57
"Rana.sphenocephala","DC108_1","06/10/2015",2,22.7,NA,-33.02,2.26
"Rana.sphenocephala","DC108_1","06/10/2015",3,22.7,NA,-29.66,1.99
"Rana.sphenocephala","DC108_1","06/10/2015",5,23.2,47.078,-29.69,1.98
"Rana.sphenocephala","DC108_1","06/10/2015",1,23.3,11.07,-29.04,2.48
"Rana.sphenocephala","DC108_1","06/10/2015",1,23.7,10.926,-32.83,1.78
"Rana.sphenocephala","DC108_1","06/10/2015",1,24.1,10.537,-35.49,2.76
"Rana.sphenocephala","DC108_1","06/10/2015",1,28.8,11.879,-36.01,2.51
"Rana.sphenocephala","DC108_1","06/10/2015",1,29,12.464,-33.38,1.65
"Rana.sphenocephala","DC108_1","06/10/2015",5,32.2,55.626,-33.06,2.12
"Rana.sphenocephala","DC108_1","06/10/2015",1,32.3,NA,-30.32,1.14
"Rana.sphenocephala","DC108_1","06/10/2015",1,32.3,NA,-30.74,1.76
"Rana.sphenocephala","DC108_1","06/10/2015",1,32.3,NA,-31.7,2.03
"Rana.sphenocephala","DC108_1","06/10/2015",1,32.3,NA,-33.3,1.81
"Rana.sphenocephala","DC108_1","06/10/2015",1,32.8,13.533,-35.54,2.14
"Rana.sphenocephala","DC108_1","06/10/2015",1,34.3,13.109,-34.81,1.68
"Rana.sphenocephala","DC108_1","06/10/2015",1,35,NA,-34.98,2.52
"Rana.sphenocephala","DC108_1","06/10/2015",1,35,NA,-33.59,2.44
"Rana.sphenocephala","DC108_1","06/10/2015",1,35,NA,-34.32,1.92
"Rana.sphenocephala","DC108_1","06/10/2015",1,35,NA,-33.79,2.01
"Rana.sphenocephala","DC108_1","06/10/2015",1,35,NA,-30.18,1.19
"Rana.sphenocephala","DC108_1","06/10/2015",4,38.2,54.285,-34.19,1.97
"Rana.sphenocephala","DC108_1","06/10/2015",1,38.2,6.883,-32.97,1.95
"Rana.sphenocephala","DC108_1","06/10/2015",1,47.3,14.494,-34.26,1.84
"Rana.sphenocephala","DC108_1","06/10/2015",1,52.9,13.999,-33.38,1.86
"Rana.sphenocephala","DC108_1","06/10/2015",1,87.2,18.298,-31.31,1.93
"Rana.sphenocephala","DC108_1","06/10/2015",1,88,18.526,-31.18,2.57
"Rana.sphenocephala","DC108_1","06/10/2015",1,410,23.592,-32.89,2.63
"Rana.sphenocephala","DC108_1","06/10/2015",1,560.7,26.802,-31.68,2.66
"Rana.sphenocephala","DC108_1","06/10/2015",1,579.6,25.249,-31.52,2.11
"Rana.sphenocephala","DC108_1","06/10/2015",1,615.7,27.825,-33.82,2.38
"Rana.sphenocephala","DC108_1","06/10/2015",1,672.4,27.707,-31.05,2.63
"Rana.sphenocephala","DC108_1","06/10/2015",1,781.4,28.282,-34.7,1.92
"Rana.sphenocephala","DC108_1","06/10/2015",1,991.4,30.288,-32.86,2.76
"Rana.sphenocephala","DC108_1","06/10/2015",1,1006.2,25.543,-30.64,3.2
"Rana.sphenocephala","DC108_1","06/10/2015",1,1006.7,28.766,-31.96,3.28
"Rana.sphenocephala","DC108_1","06/10/2015",1,1009.1,27.48,-30.21,3.58
"Rana.sphenocephala","DC108_1","06/10/2015",1,1107,23.33,-32.89,3.1
"Tramea","DC108_1","09/04/2013",1,0.9,NA,-27.88,1.79
"Tramea","DC108_1","09/04/2013",1,1.1,NA,-28.79,1.81
"Tramea","DC108_1","09/04/2013",1,1.6,NA,-29.78,2.24
"Tramea","DC108_1","09/04/2013",1,1.6,NA,-29.71,1.81
"Tramea","DC108_1","09/04/2013",2,2.35,NA,-29.91,2.18
"Tramea","DC108_1","09/04/2013",3,3.333333333,NA,-29.63,2.38
"Tramea","DC108_1","09/04/2013",1,6.2,NA,-30.38,2.48
"Tramea","DC108_1","09/04/2013",1,6.6,NA,-29.66,2.76
"Tramea","DC108_1","09/04/2013",1,8,NA,-29.41,2.75
"Tramea","DC108_1","09/04/2013",1,9.6,NA,-29.27,2.12
"Tramea","DC108_1","09/04/2013",1,9.9,NA,-29.95,2.45
"Tramea","DC108_1","09/04/2013",1,10,NA,-29.5,2.14
"Tramea","DC108_1","09/04/2013",1,10,NA,-30.25,2.57
"Tramea","DC108_1","09/04/2013",1,11.6,NA,-29.23,2.52
"Tramea","DC108_1","09/04/2013",1,12.1,NA,-29.59,2.81
"Tramea","DC108_1","09/04/2013",1,12.6,NA,-30.42,3.1
"Tramea","DC108_1","09/04/2013",1,12.9,NA,-29.46,2.77
"Tramea","DC108_1","09/04/2013",1,13.3,NA,-29.69,2.54
"Tramea","DC108_1","09/04/2013",1,13.9,NA,-28.96,3.3
"Tramea","DC108_1","09/04/2013",1,14.1,NA,-29.44,2.72
"Tramea","DC108_1","09/04/2013",1,17.2,NA,-30.44,3.04
"Tramea","DC108_1","09/04/2013",1,17.8,NA,-29.66,2.91
"Tramea","DC108_1","09/04/2013",1,19,NA,-29.64,3.33
"Tramea","DC108_1","09/04/2013",1,20.5,NA,-31.57,2.64
"Tramea","DC108_1","09/04/2013",1,21.6,NA,-29.25,2.25
"Tramea","DC108_1","09/04/2013",1,21.7,NA,-29.55,3.28
"Tramea","DC108_1","09/04/2013",1,22.1,NA,-29.43,2.66
"Tramea","DC108_1","09/04/2013",1,22.7,NA,-29.52,2.7
"Tramea","DC108_1","09/04/2013",1,22.7,NA,-29.74,2.83
"Tramea","DC108_1","09/04/2013",1,22.8,NA,-29.43,2.96
"Tramea","DC108_1","09/04/2013",1,23.2,NA,-30.2,2.66
"Tramea","DC108_1","09/04/2013",1,23.4,NA,-29.39,3.04
"Tramea","DC108_1","09/04/2013",1,23.6,NA,-29.82,2.46
"Tramea","DC108_1","09/04/2013",1,25.5,NA,-30.08,2.39
"Tramea","DC108_1","09/04/2013",1,25.7,NA,-29.6,2.34
"Tramea","DC108_1","09/04/2013",1,26,NA,-29.42,2.59
"Tramea","DC108_1","09/04/2013",1,27.2,NA,-29.69,2.79
"Tramea","DC108_1","09/04/2013",1,27.6,NA,-29.38,2.87
"Tramea","DC108_1","09/04/2013",1,27.9,NA,-30.29,2.63
"Tramea","DC108_1","09/04/2013",1,29,NA,-29.24,2.17
"Tramea","DC108_1","09/04/2013",1,29.1,NA,-30.13,3.07
"Tramea","DC108_1","09/04/2013",1,31.6,NA,-29.67,3.3
"Tramea","DC108_1","09/04/2013",1,32.1,NA,-29.79,2.82
"Tramea","DC108_1","09/04/2013",1,32.1,NA,-30.33,2.82
"Tramea","DC108_1","09/04/2013",1,32.3,NA,-29.4,2.31
"Tramea","DC108_1","09/04/2013",1,36.3,NA,-29.66,2.13
"Tramea","DC108_1","09/04/2013",1,36.8,NA,-29.66,2.34
"Tramea","DC108_1","09/04/2013",1,39.6,NA,-29.33,2.28
"Tramea","DC108_1","09/04/2013",1,39.8,NA,-30.38,2.28
"Tramea","DC108_1","09/04/2013",1,40.5,NA,-29.33,2.56
"Tramea","DC108_1","09/04/2013",1,40.5,NA,-29.81,2.69
